,id,tytułpolski,tytułoryginalny,rokprodukcji,ulubione,ocena,komentarz,krajprodukcji,gatunek,data
600,526137,Czarny łabędź,Black Swan,2010,,7,,USA,"Dramat, Psychologiczny",2011-6-12
601,8335,Omen,The Omen,1976,,8,,"USA, Wielka Brytania",Horror,2011-6-12
602,1046,Taksówkarz,Taxi Driver,1976,tak,8,,USA,Dramat,2011-1-15
603,990,Underground,,1995,tak,9,,"Czechy, Francja, Niemcy, Węgry, Bułgaria, Fed. Rep. Jugosławii","Dramat, Komedia, Wojenny",2011-1-14
604,426062,Sherlock Holmes,,2009,,5,,"Niemcy, USA","Kryminał, Przygodowy",2011-1-14
605,465818,Alicja w Krainie Czarów,Alice in Wonderland,2010,,6,,USA,"Familijny, Fantasy, Przygodowy",2011-1-14
606,123312,Ratatuj,Ratatouille,2007,,4,,USA,"Animacja, Familijny, Komedia",2011-1-14
607,33404,Shrek 2,,2004,,5,,USA,"Animacja, Familijny, Komedia",2011-1-4
608,1065,Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,2001,,6,,"Nowa Zelandia, USA","Fantasy, Przygodowy",2011-1-4
609,31451,Władca Pierścieni: Dwie wieże,The Lord of the Rings: The Two Towers,2002,,6,,"Nowa Zelandia, USA","Fantasy, Przygodowy",2011-1-4
610,464256,Wyspa tajemnic,Shutter Island,2010,,9,,USA,"Dramat, Thriller",2011-1-4
611,107535,Madagaskar,Madagascar,2005,,8,,USA,"Animacja, Familijny",2011-1-4
612,163597,300,,2006,,6,,USA,Dramat historyczny,2011-1-4
613,8625,Pełny magazynek,Full Metal Jacket,1987,tak,9,,"USA, Wielka Brytania","Dramat, Wojenny",2010-8-28
614,500891,Incepcja,Inception,2010,,4,,"USA, Wielka Brytania","Surrealistyczny, Thriller, Sci-Fi",2010-8-18
615,347567,Młot,The Hammer,2007,,7,,USA,"Komedia, Sportowy",2010-8-3
616,6883,Królowa Margot,La reine Margot,1994,tak,9,,"Francja, Niemcy, Włochy",Dramat historyczny,2010-8-3
617,30641,"My, dzieci z dworca Zoo",Christiane F. - Wir Kinder vom Bahnhof Zoo,1981,,9,,RFN,Dramat obyczajowy,2010-8-3
618,279930,Kolejny gejowski film,Another Gay Movie,2006,,2,,USA,Komedia,2010-8-1
619,236351,Mroczny Rycerz,The Dark Knight,2008,,9,,"USA, Wielka Brytania","Akcja, Sci-Fi",2010-7-29
620,99445,Iniemamocni,The Incredibles,2004,,4,,USA,"Animacja, Familijny, Komedia, Akcja",2010-6-19
621,225408,Czerwony Kapturek - Prawdziwa historia,Hoodwinked!,2005,,6,,USA,"Animacja, Familijny, Komedia",2010-6-19
622,35176,Skok przez płot,Over the Hedge,2006,,7,,USA,"Animacja, Familijny",2010-6-19
623,620,Wyspa doktora Moreau,The Island of Dr. Moreau,1996,,8,,USA,"Thriller, Sci-Fi",2010-6-18
624,34773,Katedra,,2002,,7,,Polska,"Animacja, Krótkometrażowy",2010-6-9
625,11398,Upadek,Falling Down,1993,tak,9,,"Francja, USA, Wielka Brytania",Thriller,2010-6-9
626,9509,Shrek,,2001,,8,,USA,"Animacja, Familijny, Komedia",2010-6-9
627,5188,Drabina Jakubowa,Jacob's Ladder,1990,,4,,USA,"Thriller, Psychologiczny",2010-6-9
628,208,Życie jest piękne,La vita è bella,1997,tak,10,,Włochy,"Dramat, Komedia, Wojenny",2010-6-9
629,4713,Coś,The Thing,1982,,8,,USA,"Horror, Sci-Fi",2010-6-9
630,467482,Biała wstążka,Das Weisse Band - Eine deutsche Kindergeschichte,2009,,7,,"Austria, Francja, Niemcy, Włochy",Dramat,2010-6-9
631,53,Funny Games,,1997,tak,9,,Austria,Dramat,2010-6-9
632,628,Matrix,The Matrix,1999,,8,,"Australia, USA","Akcja, Sci-Fi",2010-6-9
633,239166,Aż poleje się krew,There Will Be Blood,2007,,7,,USA,Dramat obyczajowy,2010-6-9
634,1301,Skrzypek na dachu,Fiddler on the Roof,1971,,8,,USA,"Dramat, Musical",2010-6-9
635,11841,Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King,2003,,6,,"Nowa Zelandia, USA","Fantasy, Przygodowy",2010-6-9
636,1060,Ostatnie kuszenie Chrystusa,The Last Temptation of Christ,1988,tak,10,,"Kanada, USA","Dramat, Religijny",2010-6-5
637,311861,Wściekłe pięści Węża,,2006,,7,,Polska,"Komedia, Akcja",2010-6-4
638,389424,"Sarnie żniwo, czyli pokusa statuetkowego szlaku",,2006,,6,,Polska,"Komedia, Sensacyjny",2010-6-4
639,260505,Książę Persji: Piaski czasu,Prince of Persia: The Sands of Time,2010,,6,,USA,"Fantasy, Przygodowy",2010-6-3
640,681,Nic śmiesznego,,1995,,8,,Polska,"Dramat, Komedia",2010-6-2
641,441997,Rock'N'Rolla,RocknRolla,2008,,7,,Wielka Brytania,Kryminał,2010-6-2
642,452679,Poznaj moich Spartan,Meet the Spartans,2008,,3,,USA,Komedia,2010-6-2
643,470442,Generał Nil,,2009,,5,,Polska,"Biograficzny, Wojenny",2010-6-2
644,430428,Surogaci,Surrogates,2009,,5,,USA,"Thriller, Sci-Fi",2010-6-2
645,732,Bardzo dziki Zachód,Wild Wild West,1999,,5,,USA,"Komedia, Western, Akcja",2010-6-2
646,227672,Hot Fuzz - Ostre psy,Hot Fuzz,2007,,8,,"Francja, Wielka Brytania",Komedia kryminalna,2010-6-2
647,11752,Wodny świat,Waterworld,1995,,6,,USA,"Przygodowy, Sci-Fi",2010-6-2
648,115059,Oldboy,Oldeuboi,2003,,8,,Korea Południowa,Thriller,2010-6-2
649,699,Sara,,1997,,6,,Polska,"Sensacyjny, Romans",2010-6-2
650,31508,Potwory i spółka,"Monsters, Inc.",2001,,5,,USA,"Animacja, Familijny, Komedia",2010-6-2
651,1192,Tato,,1995,,9,,Polska,Dramat obyczajowy,2010-6-2
652,99829,Hellboy,,2004,,4,,USA,"Fantasy, Akcja",2010-6-2
653,32383,xXx,,2002,,3,,USA,Akcja,2010-6-2
654,1010,Top Gun,,1986,,6,,USA,"Sensacyjny, Romans",2010-6-2
655,34246,Rybki z ferajny,Shark Tale,2004,,5,,USA,"Animacja, Familijny, Komedia",2010-6-2
