ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,originalTitle,startYear,genre_eng,titleType,primaryTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes,similarity,diff,averageRating_int
520,Gwiezdne wojny: Część I - Mroczne widmo,Star Wars: Episode I - The Phantom Menace,1999,0,5,USA,"Przygodowy, Sci-Fi",2010-6-1,Star Wars: Episode I - The Phantom Menace,1999,"przygodowy, sci-fi",movie,Star Wars: Episode I - The Phantom Menace,0,\N,136,"Action,Adventure,Fantasy",6.5,676094,0,-1.5,6
5203,Droga do Wellville,The Road to Wellville,1994,0,7,"USA, Wielka Brytania","Dramat, Komedia",2019-10-29,The Road to Wellville,1994,"drama, comedy",movie,The Road to Wellville,0,\N,118,"Comedy,Drama",5.9,10914,0,1.0999999999999996,6
523230,Prometeusz,Prometheus,2012,0,8,"USA, Wielka Brytania","Horror, Sci-Fi",2013-12-14,Prometheus,2012,"horror, sci-fi",movie,Prometheus,0,\N,124,"Adventure,Mystery,Sci-Fi",7.0,547648,0,1.0,7
525,Gwiezdne wojny: Część V - Imperium kontratakuje,Star Wars: Episode V - The Empire Strikes Back,1980,0,3,USA,"Przygodowy, Sci-Fi",2010-6-1,Star Wars: Episode V - The Empire Strikes Back,1980,"przygodowy, sci-fi",movie,Star Wars: Episode V - The Empire Strikes Back,0,\N,124,"Action,Adventure,Fantasy",8.7,1086031,0,-5.699999999999999,9
526137,Czarny łabędź,Black Swan,2010,0,7,USA,"Dramat, Psychologiczny",2011-6-12,Black Swan,2010,"drama, psychologiczny",movie,Black Swan,0,\N,108,"Drama,Thriller",8.0,664154,0,-1.0,8
5276,Dyskretny urok burżuazji,Le charme discret de la bourgeoisie,1972,0,8,Francja,"Dramat, Komedia",2015-12-17,Le charme discret de la bourgeoisie,1972,"drama, comedy",movie,The Discreet Charm of the Bourgeoisie,0,\N,102,Comedy,7.9,34766,0,0.09999999999999964,8
5289,Dzień Niepodległości,Independence Day,1996,0,3,USA,"Akcja, Sci-Fi",2010-6-2,Independence Day,1996,"action, sci-fi",movie,Independence Day,0,\N,145,"Action,Adventure,Sci-Fi",7.0,505412,0,-4.0,7
530029,Idy marcowe,The Ides of March,2011,0,7,USA,"Dramat, Polityczny",2018-12-1,The Ides of March,2011,"drama, polityczny",movie,The Ides of March,0,\N,101,"Drama,Thriller",7.1,209430,0,-0.09999999999999964,7
530950,Wszystkie odloty Cheyenne'a,This Must Be the Place,2011,1,9,"Francja, Irlandia, Włochy","Dramat, Komedia",2012-3-30,This Must Be the Place,2011,"drama, comedy",movie,This Must Be the Place,0,\N,118,"Comedy,Drama",6.7,31055,0,2.3,7
532513,Szepczący w ciemności,The Whisperer in Darkness,2011,0,7,USA,"Horror, Sci-Fi",2014-10-3,The Whisperer in Darkness,2011,"horror, sci-fi",movie,The Whisperer in Darkness,0,\N,103,"Mystery,Sci-Fi,Thriller",6.6,2640,0,0.40000000000000036,7
534,Marsjanie atakują!,Mars Attacks!,1996,0,3,USA,"Sci-Fi, Czarna komedia",2010-6-2,Mars Attacks!,1996,"sci-fi, czarna komedia",movie,Mars Attacks!,0,\N,106,"Comedy,Sci-Fi",6.3,200801,0,-3.3,6
