ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,originalTitle,startYear,genre_eng
673091,Anomalisa,,2015,0,6,"USA, Wielka Brytania","Animacja, Dramat, Komedia",2018-8-29,3.0,,2015,"animacja, drama, comedy"
760429,Deadpool 2,,2018,0,7,USA,"Komedia, Akcja, Sci-Fi",2018-8-27,3.5,,2018,"comedy, action, sci-fi"
789211,Skradziona córka,Separated at Birth,2018,0,5,Kanada,Thriller,2018-8-27,2.5,Separated at Birth,2018,thriller
772700,Najlepszy,,2017,0,6,Polska,"Biograficzny, Obyczajowy, Sportowy",2018-8-15,3.0,,2017,"biographic, drama, sportowy"
443610,Niepowstrzymany,Unstoppable,2010,0,7,USA,"Thriller, Akcja",2018-8-13,3.5,Unstoppable,2010,"thriller, action"
740757,Gold,,2016,0,6,USA,"Dramat, Przygodowy",2018-8-12,3.0,,2016,"drama, przygodowy"
786296,1922,,2017,0,4,USA,"Dramat, Thriller",2018-8-12,2.0,,2017,"drama, thriller"
503386,Pomniejszenie,Downsizing,2017,0,5,USA,"Dramat, Komedia, Sci-Fi",2018-8-12,2.5,Downsizing,2017,"drama, comedy, sci-fi"
781007,Blok 99,Brawl in Cell Block 99,2017,0,6,USA,"Kryminał, Thriller, Akcja",2018-8-11,3.0,Brawl in Cell Block 99,2017,"crime, thriller, action"
807467,Zemsta,Revenge,2017,0,4,"Belgia, Francja","Thriller, Akcja",2018-8-11,2.0,Revenge,2017,"thriller, action"
5206,Droga przez piekło,U Turn,1997,0,7,"Francja, USA","Dramat, Kryminał, Thriller",2018-8-7,3.5,U Turn,1997,"drama, crime, thriller"
121935,Przez ciemne zwierciadło,A Scanner Darkly,2006,0,7,USA,"Animacja, Thriller, Sci-Fi",2018-8-6,3.5,A Scanner Darkly,2006,"animacja, thriller, sci-fi"
776170,Tully,,2018,0,6,USA,"Dramat, Komedia",2018-8-5,3.0,,2018,"drama, comedy"
796010,Salut 7,Salyut-7,2017,0,6,Rosja,Dramat,2018-8-5,3.0,Salyut-7,2017,drama
995,Terminator,The Terminator,1984,0,6,"USA, Wielka Brytania","Akcja, Sci-Fi",2018-8-4,3.0,The Terminator,1984,"action, sci-fi"
706026,Syndrom berliński,Berlin Syndrome,2017,0,6,Australia,Thriller,2018-8-3,3.0,Berlin Syndrome,2017,thriller
774747,Gra o wszystko,Molly's Game,2017,0,5,USA,"Biograficzny, Dramat",2018-7-28,2.5,Molly's Game,2017,"biographic, drama"
682170,W głowie się nie mieści,Inside Out,2015,0,7,USA,"Animacja, Komedia",2018-7-24,3.5,Inside Out,2015,"animacja, comedy"
802898,Niepoczytalna,Unsane,2018,0,5,USA,Thriller,2018-7-9,2.5,Unsane,2018,thriller
616664,Kroniki lombardu,Pawn Shop Chronicles,2013,0,4,USA,"Dramat, Komedia",2018-6-26,2.0,Pawn Shop Chronicles,2013,"drama, comedy"
782287,Ogary miłości,Hounds of Love,2016,0,5,Australia,Kryminał,2018-6-21,2.5,Hounds of Love,2016,crime
754958,Cudzoziemiec,The Foreigner,2017,0,6,"Chiny, USA, Wielka Brytania","Thriller, Akcja",2018-6-12,3.0,The Foreigner,2017,"thriller, action"
757545,Zanim odejdę,Before I Fall,2017,0,4,USA,Dramat,2018-6-10,2.0,Before I Fall,2017,drama
767751,Przebudzenie dusz,Ghost Stories,2017,0,6,Wielka Brytania,Horror,2018-6-10,3.0,Ghost Stories,2017,horror
