ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
483087,Mission: Impossible - Ghost Protocol,,2011,,6,,"Czechy, USA, Zjednoczone Emiraty Arabskie",Sensacyjny,2012-1-2
530029,Idy marcowe,The Ides of March,2011,,7,,USA,"Dramat, Polityczny",2011-12-30
548338,Sprawa zamknięta,The Son of No One,2011,,5,,USA,"Dramat, Kryminał, Thriller",2011-12-27
98444,Aleksander,Alexander,2004,,3,,"Francja, Holandia, Niemcy, USA, Wielka Brytania, Włochy","Biograficzny, Dramat historyczny",2011-12-26
479595,Niewidzialny znak,An Invisible Sign,2010,,4,,USA,"Dramat, Komedia, Romans",2011-12-26
561046,Retreat,,2011,,7,,Wielka Brytania,"Thriller, Psychologiczny",2011-11-28
209288,W stronę słońca,Sunshine,2007,,6,,"USA, Wielka Brytania",Sci-Fi,2011-11-28
328812,Starcie tytanów,Clash of the Titans,2010,,6,,USA,"Fantasy, Przygodowy",2011-11-28
324810,Star Trek,,2009,,7,,"Niemcy, USA","Akcja, Sci-Fi",2011-11-24
118106,Producenci,The Producers,2005,,7,,USA,"Komedia, Musical",2011-11-21
30481,Przepowiednia,The Mothman Prophecies,2002,,6,,USA,Thriller,2011-11-20
557992,Druga Ziemia,Another Earth,2011,,5,,USA,"Dramat, Sci-Fi",2011-11-13
1137,Uprowadzenie Agaty,,1993,,8,,Polska,"Dramat, Komedia, Romans",2011-11-8
405077,Vicky Cristina Barcelona,,2008,,8,,"Hiszpania, USA",Komedia obycz.,2011-11-5
92181,Fanfan Tulipan,Fanfan la tulipe,2003,,6,,Francja,"Przygodowy, Romans",2011-11-5
262592,"Dobranoc, kochanie",The Good Night,2007,,5,,"Niemcy, USA, Wielka Brytania","Dramat, Komedia, Romans",2011-11-5
95938,Gothika,,2003,,5,,USA,"Horror, Psychologiczny",2011-11-5
32587,Boskie jak diabli,Sin noticias de Dios,2001,,6,,"Francja, Hiszpania, Meksyk, Włochy","Fantasy, Komedia",2011-11-5
1433,Kobieta na topie,Woman on Top,2000,,7,,USA,"Fantasy, Komedia rom.",2011-11-5
31568,Vanilla Sky,,2001,,6,,"Hiszpania, USA","Thriller, Romans, Sci-Fi",2011-11-5
411063,Elegia,Elegy,2008,,6,,USA,Melodramat,2011-11-5
186906,Volver,,2006,,9,,Hiszpania,Obyczajowy,2011-11-5
375872,Ostatni dom po lewej,The Last House on the Left,2009,,7,,USA,Thriller,2011-11-5
457332,Kocham cię od tak dawna,Il y a longtemps que je t'aime,2008,,8,,"Francja, Niemcy",Dramat obyczajowy,2011-11-4
36365,Duża ryba,Big Fish,2003,,7,,USA,"Dramat, Fantasy",2011-11-2
559895,Contagion - Epidemia strachu,Contagion,2011,,6,,"USA, Zjednoczone Emiraty Arabskie","Dramat, Sci-Fi",2011-11-2
264516,Notatki o skandalu,Notes on a Scandal,2006,,6,,Wielka Brytania,"Dramat, Thriller",2011-11-2
558083,Hanna,,2011,,7,,"Niemcy, USA, Wielka Brytania","Thriller, Akcja",2011-11-2
496469,Niepokonani,The Way Back,2010,,5,,"Polska, USA, Zjednoczone Emiraty Arabskie","Przygodowy, Dramat historyczny",2011-11-2
152444,Historia przemocy,A History of Violence,2005,,6,,"Niemcy, USA","Dramat, Thriller",2011-11-2
100189,Cooler,The Cooler,2003,,7,,USA,Melodramat,2011-11-2
1055,Morderstwo pierwszego stopnia,Murder in the First,1995,,7,,"Francja, USA",Dramat sądowy,2011-11-2
297829,Wszystko za życie,Into the Wild,2007,,8,,USA,"Biograficzny, Dramat, Przygodowy",2011-11-2
459973,Bracia,Brothers,2009,,7,,USA,Dramat,2011-11-2
473563,Była sobie dziewczyna,An Education,2009,,7,,"USA, Wielka Brytania",Dramat,2011-11-2
254273,KM 31,Kilómetro 31,2006,,8,,"Hiszpania, Meksyk",Horror,2011-11-2
396403,Dziewiątki,The Nines,2007,,6,,USA,"Dramat, Fantasy",2011-11-2
33969,Schmidt,About Schmidt,2002,,7,,USA,"Dramat, Komedia",2011-11-2
781,Dług,,1999,,7,,Polska,"Dramat, Psychologiczny",2011-10-28
536312,Dom snów,Dream House,2011,,3,,USA,Thriller,2011-10-24
136704,Ludzkie dzieci,Children of Men,2006,,7,,"USA, Wielka Brytania","Dramat, Sci-Fi",2011-10-22
163597,300,,2006,,6,,USA,Dramat historyczny,2011-10-22
502797,Fish Tank,,2009,,7,,"Holandia, Wielka Brytania",Dramat,2011-10-22
444400,Eden Lake,,2008,,8,,Wielka Brytania,Thriller,2011-10-22
34565,The Ring,,2002,,8,,"Japonia, USA",Horror,2011-10-22
6407,Za drzwiami sypialni,In the Bedroom,2001,,6,,USA,Dramat,2011-10-22
544006,Prawnik z Lincolna,The Lincoln Lawyer,2011,,7,,USA,"Kryminał, Thriller",2011-10-22
461946,Zapaśnik,The Wrestler,2008,,7,,"Francja, USA","Dramat obyczajowy, Sportowy",2011-10-22
245851,Tylko strzelaj,Shoot 'Em Up,2007,,6,,USA,Akcja,2011-10-22
107590,Bliżej,Closer,2004,,7,,"USA, Wielka Brytania",Melodramat,2011-10-22
114510,Wykolejony,Derailed,2005,,8,,"USA, Wielka Brytania","Dramat, Thriller",2011-10-22
107554,Nadchodzi Polly,Along Came Polly,2004,,5,,USA,Komedia rom.,2011-10-22
